2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.01431,4884.6
0.01435,4886.4
0.01440,4887.9
0.01446,4889.4
0.01451,4890.4
0.01458,4891.3
0.01462,4893.5
0.01468,4895.4
0.01474,4895.7
0.01478,4896.3
0.01483,4897.5
0.01490,4897.1
0.01495,4898.2
0.01499,4897.8
0.01506,4898.7
0.01511,4900.3
0.01517,4899.9
0.01522,4901.3
0.01528,4901.2
0.01533,4901.9
0.01539,4903.4
0.01544,4903.9
0.01549,4903.6
0.01557,4905.8
0.01563,4906.5
0.01569,4907.5
0.01573,4908.1
0.01580,4908.3
0.01585,4909.3
0.01592,4908.6
0.01597,4908.9
0.01601,4909.1
